type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",2021,tv-ma,127 min,"dramas, international movies",127.0,min
movie,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",unknown,2021,tv-pg,91 min,"children & family movies, comedies",91.0,min
tv show,unknown,unknown,unknown,2021,tv-ma,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
tv show,unknown,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,2021,tv-ma,4 Seasons,"tv comedies, tv dramas",4.0,season
movie,"pedro de echave garcía, pablo azorín williams",unknown,unknown,2020,tv-ma,67 min,"documentaries, international movies",67.0,min
tv show,unknown,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,2020,tv-ma,2 Seasons,"crime tv shows, spanish-language tv shows, tv dramas",2.0,season
movie,adam salky,"freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",unknown,2021,tv-14,94 min,thrillers,94.0,min
tv show,unknown,"blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski",unknown,2021,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv action & adventure",1.0,season
tv show,olivier megaton,unknown,unknown,2021,tv-14,1 Season,"crime tv shows, docuseries, international tv shows",1.0,season
tv show,unknown,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı",turkey,2018,tv-14,5 Seasons,"international tv shows, tv action & adventure, tv dramas",5.0,season
movie,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",unknown,1996,tv-pg,161 min,"comedies, international movies",161.0,min
movie,"alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim",unknown,2021,tv-y,61 min,children & family movies,61.0,min
movie,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,1998,tv-14,166 min,"comedies, international movies, romantic movies",166.0,min
tv show,unknown,brooke satchwell,australia,2021,tv-14,2 Seasons,"docuseries, international tv shows, reality tv",2.0,season
movie,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",unknown,1997,tv-pg,147 min,"comedies, international movies, music & musicals",147.0,min
movie,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,2010,pg-13,103 min,comedies,103.0,min
movie,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,2013,pg-13,97 min,"horror movies, sci-fi & fantasy",97.0,min
movie,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",2013,pg-13,106 min,thrillers,106.0,min
movie,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",unknown,2021,tv-14,111 min,"dramas, independent movies, international movies",111.0,min
tv show,unknown,"lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",unknown,2021,tv-ma,1 Season,tv comedies,1.0,season
tv show,unknown,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie",united kingdom,2020,tv-ma,3 Seasons,"british tv shows, international tv shows, tv comedies",3.0,season
tv show,unknown,"lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi",unknown,2021,tv-ma,1 Season,"international tv shows, tv dramas, tv thrillers",1.0,season
tv show,unknown,"dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim",unknown,2020,tv-y7,1 Season,kids' tv,1.0,season
movie,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",unknown,2021,tv-ma,110 min,"dramas, international movies, thrillers",110.0,min
movie,cédric jimenez,"gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot",unknown,2021,tv-ma,105 min,"action & adventure, dramas, international movies",105.0,min
tv show,unknown,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",finland,2018,tv-y7,1 Season,"kids' tv, tv comedies",1.0,season
movie,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",2017,pg-13,96 min,"action & adventure, dramas",96.0,min
tv show,unknown,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,2021,tv-y7,3 Seasons,kids' tv,3.0,season
tv show,unknown,"yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore",united states,2021,tv-y7,1 Season,"kids' tv, tv sci-fi & fantasy",1.0,season
movie,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",united states,1975,pg,124 min,"action & adventure, classic movies, dramas",124.0,min
movie,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",united states,1978,pg,116 min,"dramas, horror movies, thrillers",116.0,min
movie,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",united states,1983,pg,98 min,"action & adventure, horror movies, thrillers",98.0,min
movie,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,1987,pg-13,91 min,"action & adventure, horror movies, thrillers",91.0,min
movie,tyler greco,unknown,unknown,2021,pg,23 min,documentaries,23.0,min
movie,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",2012,r,115 min,action & adventure,115.0,min
tv show,bunmi ajakaiye,"osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",unknown,2020,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,2001,r,122 min,"dramas, thrillers",122.0,min
tv show,unknown,"richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,2021,tv-ma,2 Seasons,"international tv shows, tv dramas",2.0,season
tv show,unknown,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",india,2014,tv-pg,1 Season,"international tv shows, tv dramas, tv sci-fi & fantasy",1.0,season
movie,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,2002,tv-14,99 min,"action & adventure, anime features, international movies",99.0,min
movie,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2003,tv-14,99 min,"action & adventure, anime features, international movies",99.0,min
movie,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,2004,tv-pg,88 min,"action & adventure, anime features, international movies",88.0,min
movie,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,2001,tv-pg,100 min,"action & adventure, anime features, international movies",100.0,min
tv show,unknown,"nicole byer, jacques torres",united states,2021,tv-pg,6 Seasons,reality tv,6.0,season
movie,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,2011,tv-14,102 min,"action & adventure, anime features, international movies",102.0,min
movie,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,2008,tv-pg,93 min,"action & adventure, anime features, international movies",93.0,min
movie,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,2009,tv-pg,96 min,"action & adventure, anime features, international movies",96.0,min
movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,2007,tv-pg,95 min,"action & adventure, anime features, international movies",95.0,min
movie,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,2010,tv-14,85 min,"action & adventure, anime features, international movies",85.0,min
movie,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,2005,tv-pg,97 min,"action & adventure, anime features, international movies",97.0,min
movie,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,2006,tv-pg,95 min,"action & adventure, anime features, international movies",95.0,min
movie,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,2004,tv-pg,83 min,"action & adventure, anime features, international movies",83.0,min
movie,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",unknown,2021,tv-pg,103 min,children & family movies,103.0,min
tv show,unknown,"beth chalmers, david holt, marcel mccalla, teresa gallagher",united kingdom,2021,tv-y,6 Seasons,kids' tv,6.0,season
tv show,unknown,unknown,india,2014,tv-g,1 Season,"docuseries, international tv shows",1.0,season
tv show,unknown,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",united states,1994,tv-pg,9 Seasons,"kids' tv, tv comedies",9.0,season
movie,"hanns-bruno kammertöns, vanessa nöcker, michael wech",michael schumacher,unknown,2021,tv-14,113 min,"documentaries, international movies, sports movies",113.0,min
tv show,unknown,unknown,india,2015,tv-pg,1 Season,"international tv shows, tv dramas",1.0,season
tv show,unknown,itatí cantoral,unknown,2021,tv-ma,1 Season,"international tv shows, reality tv, romantic tv shows",1.0,season
movie,david a. vargas,"evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux",unknown,2021,tv-y,13 min,children & family movies,13.0,min
tv show,unknown,"jack whitehall, michael whitehall",united kingdom,2021,tv-ma,5 Seasons,"british tv shows, docuseries, international tv shows",5.0,season
movie,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,2018,tv-ma,182 min,"dramas, international movies",182.0,min
tv show,unknown,unknown,unknown,2021,tv-pg,2 Seasons,reality tv,2.0,season
movie,ben simms,"bear grylls, jason derek prempeh",unknown,2021,tv-g,106 min,children & family movies,106.0,min
tv show,unknown,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",japan,2013,tv-14,1 Season,"anime series, international tv shows",1.0,season
movie,prakash satam,"sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey",unknown,2021,tv-y7,48 min,"children & family movies, comedies",48.0,min
movie,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",unknown,2020,tv-14,145 min,"comedies, dramas, international movies",145.0,min
movie,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",unknown,2021,tv-14,145 min,"comedies, dramas, international movies",145.0,min
movie,tomer eshed,"thomas brodie-sangster, felicity jones, freddie highmore, patrick stewart, meera syal, sanjeev bhaskar, nonso anozie",unknown,2021,tv-y7,93 min,children & family movies,93.0,min
movie,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,2021,r,106 min,action & adventure,106.0,min
tv show,unknown,"tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley-ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis",united states,2021,tv-14,6 Seasons,"crime tv shows, tv comedies, tv dramas",6.0,season
tv show,unknown,jo koy,unknown,2021,tv-ma,1 Season,reality tv,1.0,season
movie,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,2020,tv-ma,147 min,"action & adventure, comedies, dramas",147.0,min
tv show,unknown,"ikue otani, sarah natochenny, zeno robinson, cherami leigh, james carter cathcart, michele knotz, rodger parsons, ray chase, casey mongillo, tara sands",unknown,2021,tv-y7,1 Season,"anime series, kids' tv",1.0,season
movie,thomas sieben,"david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klaus steinbacher, livia matthes, nellie thalbach",unknown,2021,tv-ma,87 min,"international movies, thrillers",87.0,min
tv show,unknown,"jeon hae-ri, kim eun-ah, hong bum-ki, nam do-hyeong, um sang-hyun",unknown,2019,tv-y,2 Seasons,"kids' tv, korean tv shows",2.0,season
movie,marcus clarke,"malcolm x, muhammad ali",unknown,2021,pg-13,96 min,"documentaries, sports movies",96.0,min
tv show,unknown,"julie tejwani, sabina malik, jigna bhardwaj, rupa bhimani, lalit agarwal, rajesh shukla, rajesh kava",unknown,2017,tv-y7,4 Seasons,kids' tv,4.0,season
movie,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states",2019,tv-ma,95 min,"sci-fi & fantasy, thrillers",95.0,min
movie,"mona achache, patricia tourancheau",unknown,france,2021,tv-14,92 min,"documentaries, international movies",92.0,min
tv show,unknown,"pauline etienne, laurent capelluto, stefano cassetti, mehmet kurtuluş, babetida sadjo, jan bijvoet, ksawery szlenkier, vincent londez, regina bikkinina, alba gaïa kraghede bellugi, nabil mallat",belgium,2021,tv-ma,2 Seasons,"international tv shows, tv dramas, tv mysteries",2.0,season
movie,alexis almström,"elsa öhrn, mustapha aarab, jonay pineda skallak, magnus krepper, loreen, albin grenholm, simon mezher, elsa bergström terent, josef kadim, yohannes frezgi",unknown,2021,tv-ma,91 min,"dramas, international movies, romantic movies",91.0,min
movie,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","united kingdom, united states",2018,pg,90 min,"children & family movies, comedies",90.0,min
tv show,unknown,michelle buteau,"united states, united kingdom",2021,tv-ma,3 Seasons,reality tv,3.0,season
movie,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",united states,2018,tv-ma,97 min,"documentaries, music & musicals",97.0,min
tv show,unknown,"jack fisher, tom kenny, amanda c. miller, kim yarbrough, keith ferguson, grey griffin, lily rose silver",united states,2021,tv-y7,2 Seasons,"kids' tv, tv comedies, tv sci-fi & fantasy",2.0,season
tv show,unknown,"antonio aakeel, chipo chung, simon foster, teresa gallagher, simon greenall, kate harbour, paul panting, rob rackstraw, william vanderpuye, helen walsh, keith wickham, andres williams, jo wyatt",united kingdom,2021,tv-y,1 Season,"british tv shows, kids' tv",1.0,season
tv show,unknown,"julie delpy, elisabeth shue, sarah jones, alexia landeau, mathieu demy, troy garity, timm sharp, giovanni ribisi","france, united states",2021,tv-ma,1 Season,"tv comedies, tv dramas",1.0,season
tv show,unknown,"austin abell, travis turner, cole howard, anna cummer, jesse inocalla, brian dobson, michael adamthwaite, joseph girgis, caitlyn bairstow",unknown,2019,tv-y7,2 Seasons,kids' tv,2.0,season
movie,"chapman way, maclain way",unknown,united states,2021,tv-ma,80 min,"documentaries, sports movies",80.0,min
tv show,jason hehir,unknown,unknown,2021,tv-14,1 Season,"docuseries, science & nature tv",1.0,season
movie,yemi amodu,"jide kosoko, omotola jalade-ekeinde, yemi blaq, sola sobowale, ken erics, toyin aimakhu, segun arinze, jibola dabo, rotimi salami, pa jimi solanke, rachael okonkwo, bassey okon, lucien morgan, magdalena korpas",unknown,2020,tv-ma,117 min,"dramas, international movies, thrillers",117.0,min
tv show,unknown,"robyn slade, kami desilets",south korea,2016,tv-y,2 Seasons,"kids' tv, korean tv shows",2.0,season
movie,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,2017,tv-14,128 min,"action & adventure, comedies, dramas",128.0,min
tv show,unknown,"peyton list, karan brar, skai jackson, miranda may, kevin g. quinn, nathan arenas, nina lu",united states,2021,tv-g,5 Seasons,"kids' tv, tv comedies",5.0,season
movie,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",united states,2018,g,90 min,"children & family movies, dramas",90.0,min
tv show,unknown,"aubri ibrag, sana'a shaik, miah madden, mercy cornwall, georgia-may davis, ryan harrison, josh heuston, alexander grant",australia,2021,tv-g,1 Season,"kids' tv, tv dramas, teen tv shows",1.0,season
tv show,unknown,"úrsula corberó, itziar ituño, álvaro morte, paco tous, enrique arce, pedro alonso, maría pedraza, alba flores, miguel herrán, jaime lorente, esther acebo, darko peric, kiti mánver",spain,2021,tv-ma,5 Seasons,"crime tv shows, international tv shows, spanish-language tv shows",5.0,season
tv show,"luis alfaro, javier gómez santander",unknown,unknown,2021,tv-ma,1 Season,"docuseries, international tv shows, spanish-language tv shows",1.0,season
tv show,unknown,"liam mitchell, dee bradley baker, grey griffin, josh mcdermitt, kari wahlgren, judy alice lee, ali mawji","united states, singapore",2021,tv-y,1 Season,kids' tv,1.0,season
movie,sara colangelo,"michael keaton, stanley tucci, amy ryan, shunori ramanathan, ato blankson-wood, tate donovan, laura benanti, chris tardio",unknown,2021,pg-13,119 min,dramas,119.0,min
movie,stephen herek,"victoria justice, midori francis, robyn scott, adam garcia, timothy renouf, gloria garcia, myfanwy waring, spencer sutherland",unknown,2021,tv-pg,110 min,"comedies, romantic movies",110.0,min
movie,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",india,1994,tv-14,143 min,"dramas, international movies, thrillers",143.0,min
movie,jane campion,"abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","united kingdom, australia, france",2009,pg,119 min,"dramas, romantic movies",119.0,min
movie,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",india,2015,tv-pg,114 min,"comedies, dramas, independent movies",114.0,min
movie,luke holland,unknown,"united kingdom, united states",2021,pg-13,94 min,documentaries,94.0,min
movie,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",india,2017,tv-14,106 min,"dramas, international movies, thrillers",106.0,min
movie,jp habac,"janine gutierrez, jc santos, victor anastacio, yesh burce, lotlot de leon",unknown,2020,tv-ma,99 min,"dramas, international movies, romantic movies",99.0,min
tv show,unknown,"jon allen, kellen goff, joe hernandez, kaiji tang",australia,2021,tv-y7,1 Season,"kids' tv, tv comedies",1.0,season
tv show,unknown,"lee ji-eun, yeo jin-goo, shin jung-geun, seo yi-sook, bae hae-sun, pyo ji-hoon, cho hyun-chul, kang hong-suk, lee do-hyun, lee tae-seon, kang mina, park you-na, oh ji-ho",unknown,2019,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,jane campion,"meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","united kingdom, australia, france, united states",2003,r,118 min,thrillers,118.0,min
tv show,unknown,unknown,unknown,2012,tv-y7,1 Season,kids' tv,1.0,season
tv show,unknown,unknown,south korea,2013,tv-y7,3 Seasons,"kids' tv, korean tv shows",3.0,season
tv show,unknown,"sean hayes, wanda sykes, laurie metcalf, david harbour, gary cole, patti harrison, matt rogers",united states,2021,tv-ma,1 Season,"crime tv shows, tv action & adventure, tv comedies",1.0,season
movie,vidhu vinod chopra,"aadil khan, sadia khateeb, zain khan durrani, priyanshu chatterjee, bhavna chauhan, ashwin dhar, farid azad khan, saghar sehrai",india,2020,tv-14,115 min,"dramas, international movies, romantic movies",115.0,min
movie,mark rosman,"hilary duff, chad michael murray, jennifer coolidge, dan byrd, regina king, julie gonzalo, lin shaye, madeline zima, andrea avery, mary pat gleason, paul rodriguez, whip hubley, kevin kilner, erica hubbard, simon helberg","united states, canada",2004,pg,95 min,"children & family movies, comedies",95.0,min
movie,gilles paquet-brenner,"glenn close, terence stamp, max irons, gillian anderson, christina hendricks, stefanie martini, julian sands, honor kneafsey, christian mckay, amanda abbington",unknown,2017,pg-13,115 min,"dramas, international movies, thrillers",115.0,min
movie,lasse hallström,"robert redford, jennifer lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson","germany, united states",2005,pg-13,108 min,dramas,108.0,min
movie,scott pleydell-pearce,"america young, amber may, giselle fernandez, alejandro saab, dinora walcott",unknown,2021,tv-y,63 min,"children & family movies, music & musicals",63.0,min
movie,ridley scott,"harrison ford, rutger hauer, sean young, edward james olmos, m. emmet walsh, daryl hannah, william sanderson, brion james, joe turkel, joanna cassidy, james hong, morgan paull",united states,1982,r,117 min,"action & adventure, classic movies, cult movies",117.0,min
tv show,unknown,"tseng yun-fan, kao yun-shuo, chiang ching-yen, meng ching-fu, huang bai-wei, ma kuo-yao, chen yen-chun, sun ke-fang, kai yang-niu, chen yu-wen, nick liao, lin kai-ling, mickey huang, liu kuan-ting, jiang du-hui",unknown,2021,tv-ma,1 Season,"international tv shows, tv action & adventure, tv comedies",1.0,season
